id;lname;fname;additional;dob;is_alive
1;Columbus;Christopher;Capricorn;1451-01-01;false
2;da Vinci;Leonardo;Aries;1452-04-15;false
3;Michelangelo Buonarroti;;Pisces;1475-03-06;false
4;Shakespeare;William;Capricorn;1564-01-01;false
5;Rubens;Peter Paul;Cancer;1577-06-28;false
6;Rembrandt Harmenszoon van Rijn;;Cancer;1606-07-15;false
7;Moliere;;Capricorn;1622-01-15;false
8;Vermeer;Jan;Scorpio;1632-10-31;false
9;Newton;Isaac;Capricorn;1642-12-25;false
10;Vivaldi;Antonio;Pisces;1678-03-04;false
11;Handel;George Frederick;Pisces;1685-02-23;false
12;Bach;Johann Sebastian;Aries;1685-03-21;false
13;Franklin;Benjamin;Capricorn;1706-01-17;false
14;Haydn;Franz Joseph;Aries;1732-03-31;false
15;Jefferson;Thomas;Aries;1743-04-13;false
16;Goya;Francisco de;Aries;1746-03-30;false
17;Hamilton;Alexander;Capricorn;1755-01-11;false
18;Mozart;Wolfgang Amadeus;Aquarius;1756-01-27;false
19;Burr;Aaron;Aquarius;1756-02-06;false
20;Adams;John Quincy;Cancer;1767-07-11;false
21;Napoleon I;;Leo;1769-08-15;false
22;Beethoven;Ludwig van;Sagittarius;1770-12-16;false
23;Hemings;Sally;Capricorn;1773-01-01;false
24;Irving;Washington;Aries;1783-04-03;false
25;Audubon;John James;Taurus;1785-04-26;false
26;Rossini;Gioacchino;Pisces;1792-02-29;false
27;Schubert;Franz;Aquarius;1797-01-31;false
28;Berlioz;Hector;Sagittarius;1803-12-11;false
29;Andersen;Hans Christian;Aries;1805-04-02;false
30;Lee;Robert E;Capricorn;1807-01-19;false
31;Johnson;Andrew;Capricorn;1808-12-29;false
32;Poe;Edgar Allan;Capricorn;1809-01-19;false
33;Mendelssohn;Felix;Aquarius;1809-02-03;false
34;Darwin;Charles Robert;Aquarius;1809-02-12;false
35;Lincoln;Abraham;Aquarius;1809-02-12;false
36;Chopin;Frederic;Pisces;1810-03-01;false
37;Stowe;Harriet Beecher;Gemini;1811-06-14;false
38;Liszt;Franz;Libra;1811-10-22;false
39;Dickens;Charles;Aquarius;1812-02-07;false
40;Wagner;Richard;Gemini;1813-05-22;false
41;Verdi;Giuseppe;Libra;1813-10-10;false
42;Thoreau;Henry David;Cancer;1817-07-12;false
43;Marx;Karl;Taurus;1818-05-05;false
44;Whitman;Walt;Gemini;1819-05-31;false
45;Melville;Herman;Leo;1819-08-01;false
46;Dostoyevsky;Fyodor;Scorpio;1821-11-11;false
47;Olmsted;Frederick Law;Taurus;1822-04-26;false
48;Grant;Ulysses S;Taurus;1822-04-27;false
49;Ibsen;Henrik;Pisces;1828-03-20;false
50;Tolstoy;Leo;Virgo;1828-09-09;false
51;Dickinson;Emily;Sagittarius;1830-12-10;false
52;Manet;Edouard;Aquarius;1832-01-23;false
53;Alcott;Louisa May;Sagittarius;1832-11-29;false
54;Brahms;Johannes;Taurus;1833-05-07;false
55;Degas;Edgar;Cancer;1834-07-19;false
56;Carnegie;Andrew;Sagittarius;1835-11-25;false
57;Clemens;Samuel Langhorne;Sagittarius;1835-11-30;false
58;Homer;Winslow;Pisces;1836-02-24;false
59;Bizet;Georges;Scorpio;1838-10-25;false
60;Custer;George Armstrong;Sagittarius;1839-12-05;false
61;Tchaikovsky;Peter Ilyich;Taurus;1840-05-07;false
62;Monet;Claude;Scorpio;1840-11-14;false
63;Massenet;Jules;Taurus;1842-05-12;false
64;Sullivan;Arthur S;Taurus;1842-05-13;false
65;James;Henry;Aries;1843-04-05;false
66;Cassatt;Mary;Gemini;1844-05-22;false
67;Edison;Thomas A;Aquarius;1847-02-11;false
68;Strindberg;August;Aquarius;1849-01-22;false
69;van Gogh;Vincent;Aries;1853-03-30;false
70;White;Stanford;Scorpio;1853-11-09;false
71;Wilde;Oscar;Libra;1854-10-16;false
72;Sargent;John Singer;Capricorn;1856-01-12;false
73;Freud;Sigmund;Taurus;1856-05-06;false
74;Shaw;George Bernard;Leo;1856-07-26;false
75;Wilson;Woodrow;Capricorn;1856-12-28;false
76;Roosevelt;Theodore;Scorpio;1858-10-27;false
77;Puccini;Giacomo;Capricorn;1858-12-22;false
78;Doyle;Arthur Conan;Gemini;1859-05-22;false
79;Chekhov;Anton;Aquarius;1860-01-29;false
80;Mahler;Gustav;Cancer;1860-07-07;false
81;Klimt;Gustav;Cancer;1862-07-14;false
82;Debussy;Claude;Leo;1862-08-22;false
83;Ford;Henry;Leo;1863-07-30;false
84;Strauss;Richard;Gemini;1864-06-11;false
85;Yeats;William Butler;Gemini;1865-06-13;false
86;Sibelius;Jean;Sagittarius;1865-12-08;false
87;Kipling;Rudyard;Capricorn;1865-12-30;false
88;Wright;Frank Lloyd;Gemini;1867-06-08;false
89;Nicholas II;Czar of Russia;Taurus;1868-05-18;false
90;Matisse;Henri;Capricorn;1869-12-31;false
91;Lenin;Vladimir;Taurus;1870-04-22;false
92;Proust;Marcel;Cancer;1871-07-10;false
93;Caruso;Enrico;Pisces;1873-02-25;false
94;Rachmaninoff;Sergei;Aries;1873-04-01;false
95;Cather;Willa;Sagittarius;1873-12-07;false
96;Stein;Gertrude;Aquarius;1874-02-03;false
97;Houdini;Harry;Aries;1874-03-24;false
98;Schoenberg;Arnold;Virgo;1874-09-13;false
99;Ives;Charles Edward;Libra;1874-10-20;false
100;Churchill;Winston Leonard Spencer;Sagittarius;1874-11-30;false
101;Mann;Thomas;Gemini;1875-06-06;false
102;Jung;Carl Gustav;Leo;1875-07-26;false
103;Duncan;Isadora;Gemini;1877-05-27;false
104;Stalin;Joseph;Sagittarius;1878-12-18;false
105;Einstein;Albert;Pisces;1879-03-14;false
106;Steichen;Edward;Aries;1879-03-27;false
107;Picasso;Pablo;Scorpio;1881-10-25;false
108;Woolf;Virginia;Aquarius;1882-01-25;false
109;Roosevelt;Franklin Delano;Aquarius;1882-01-30;false
110;Joyce;James;Aquarius;1882-02-02;false
111;Stravinsky;Igor;Gemini;1882-06-17;false
112;Kafka;Franz;Cancer;1883-07-03;false
113;Mussolini;Benito;Leo;1883-07-29;false
114;Truman;Harry S;Taurus;1884-05-08;false
115;Modigliani;Amedeo;Cancer;1884-07-12;false
116;Roosevelt;Eleanor;Libra;1884-10-11;false
117;Kern;Jerome;Aquarius;1885-01-27;false
118;Berg;Alban;Aquarius;1885-02-09;false
119;Pound;Ezra;Scorpio;1885-10-30;false
120;Rivera;Diego;Sagittarius;1886-12-08;false
121;Cobb;Ty;Sagittarius;1886-12-18;false
122;Chagall;Marc;Cancer;1887-07-07;false
123;Berlin;Irving;Taurus;1888-05-11;false
124;Chandler;Raymond;Leo;1888-07-23;false
125;Moses;Robert;Sagittarius;1888-12-18;false
126;Chaplin;Charlie;Aries;1889-04-16;false
127;Hitler;Adolf;Aries;1889-04-20;false
128;Cocteau;Jean;Cancer;1889-07-05;false
129;Christie;Agatha;Virgo;1890-09-15;false
130;Marx;Groucho;Libra;1890-10-02;false
131;Eisenhower;Dwight David;Libra;1890-10-14;false
132;de Gaulle;Charles;Scorpio;1890-11-22;false
133;Hurston;Zora Neale;Capricorn;1891-01-07;false
134;Prokofiev;Sergei;Taurus;1891-04-27;false
135;Tolkien;J R R;Capricorn;1892-01-03;false
136;Miro;Joan;Aries;1893-04-20;false
137;West;Mae;Leo;1893-08-17;false
138;Parker;Dorothy;Leo;1893-08-22;false
139;Gish;Lillian;Libra;1893-10-14;false
140;Mao Zedong;;Capricorn;1893-12-26;false
141;Rockwell;Norman;Aquarius;1894-02-03;false
142;Khrushchev;Nikita S;Aries;1894-04-15;false
143;Graham;Martha;Taurus;1894-05-11;false
144;Renoir;Jean;Virgo;1894-09-15;false
145;Thurber;James;Sagittarius;1894-12-08;false
146;Hoover;J Edgar;Capricorn;1895-01-01;false
147;Ruth;George Herman;Aquarius;1895-02-06;false
148;Peron;Juan Domingo;Libra;1895-10-08;false
149;Burns;George;Capricorn;1896-01-20;false
150;Fitzgerald;F Scott;Libra;1896-09-24;false
151;Thomson;Virgil;Sagittarius;1896-11-25;false
152;Wilder;Thornton;Aries;1897-04-17;false
153;Earhart;Amelia;Leo;1897-07-24;false
154;Faulkner;William;Libra;1897-09-25;false
155;Eisenstein;Sergei;Aquarius;1898-01-22;false
156;Brecht;Bertolt;Aquarius;1898-02-10;false
157;Robeson;Paul;Aries;1898-04-09;false
158;Calder;Alexander;Cancer;1898-07-22;false
159;Gershwin;George;Libra;1898-09-26;false
160;Poulenc;Francis;Capricorn;1899-01-07;false
161;Nabokov;Vladimir;Taurus;1899-04-22;false
162;Ellington;Duke;Taurus;1899-04-29;false
163;Astaire;Fred;Taurus;1899-05-10;false
164;Hemingway;Ernest;Cancer;1899-07-21;false
165;Hitchcock;Alfred;Leo;1899-08-13;false
166;Coward;Noel;Sagittarius;1899-12-16;false
167;Bogart;Humphrey;Capricorn;1899-12-25;false
168;Weill;Kurt;Pisces;1900-03-02;false
169;Armstrong;Louis;Cancer;1900-07-04;false
170;Hayes;Helen;Libra;1900-10-10;false
171;Mitchell;Margaret;Scorpio;1900-11-08;false
172;Copland;Aaron;Scorpio;1900-11-14;false
173;Disney;Walt;Sagittarius;1901-12-05;false
174;Heisenberg;Werner;Sagittarius;1901-12-05;false
175;Dietrich;Marlene;Capricorn;1901-12-27;false
176;Bing;Rudolf;Capricorn;1902-01-09;false
177;Hughes;Langston;Aquarius;1902-02-01;false
178;Lindbergh;Charles A;Aquarius;1902-02-04;false
179;Steinbeck;John;Pisces;1902-02-27;false
180;Stone;Edward Durell;Pisces;1902-03-09;false
181;Singer;Isaac Bashevis;Scorpio;1902-11-21;false
182;Thurmond;Strom;Sagittarius;1902-12-05;false
183;Spock;Benjamin;Taurus;1903-05-02;false
184;Crosby;Bing;Taurus;1903-05-03;false
185;Hope;Bob;Gemini;1903-05-29;false
186;Gehrig;Lou;Gemini;1903-06-19;false
187;Hirschfeld;Al;Gemini;1903-06-21;false
188;Orwell;George;Cancer;1903-06-25;false
189;Rothko;Mark;Libra;1903-09-25;false
190;Waugh;Evelyn;Scorpio;1903-10-28;false
191;Cornell;Joseph;Capricorn;1903-12-24;false
192;Balanchine;George;Aquarius;1904-01-22;false
193;Geisel;Theodor Seuss;Pisces;1904-03-02;false
194;Gielgud;John;Aries;1904-04-14;false
195;de Kooning;Willem;Taurus;1904-04-24;false
196;Dali;Salvador;Taurus;1904-05-11;false
197;Deng Xiaoping;;Leo;1904-08-22;false
198;Greene;Graham;Libra;1904-10-02;false
199;Hart;Moss;Scorpio;1904-10-24;false
200;Hiss;Alger;Scorpio;1904-11-11;false
201;Rand;Ayn;Aquarius;1905-02-02;false
202;Hellman;Lillian;Gemini;1905-06-20;false
203;Garbo;Greta;Virgo;1905-09-18;false
204;Styne;Jule;Capricorn;1905-12-31;false
205;Eichmann;Adolf;Pisces;1906-03-19;false
206;Beame;Abraham D;Pisces;1906-03-20;false
207;Beckett;Samuel;Aries;1906-04-13;false
208;Lindbergh;Anne Morrow;Cancer;1906-06-22;false
209;Wilder;Billy;Cancer;1906-06-22;false
210;Johnson;Philip;Cancer;1906-07-08;false
211;Huston;John;Leo;1906-08-05;false
212;Shostakovich;Dmitri;Libra;1906-09-25;false
213;Hepburn;Katharine;Taurus;1907-05-12;false
214;Olivier;Laurence;Gemini;1907-05-22;false
215;Mellon;Paul;Gemini;1907-06-11;false
216;Kahlo;Frida;Cancer;1907-07-06;false
217;Carter;Benny;Leo;1907-08-08;false
218;Teller;Edward;Capricorn;1908-01-15;false
219;Annenberg;Walter H;Pisces;1908-03-13;false
220;Davis;Bette;Aries;1908-04-05;false
221;Hampton;Lionel;Aries;1908-04-20;false
222;Allende Gossens;Salvador;Cancer;1908-06-26;false
223;Marshall;Thurgood;Cancer;1908-07-02;false
224;Rockefeller;Nelson Aldrich;Cancer;1908-07-08;false
225;Berle;Milton;Cancer;1908-07-12;false
226;Johnson;Lyndon Baines;Virgo;1908-08-27;false
227;Galbraith;John Kenneth;Libra;1908-10-15;false
228;Blackmun;Harry A;Scorpio;1908-11-12;false
229;McCarthy;Joseph R;Scorpio;1908-11-14;false
230;Cooke;Alistair;Scorpio;1908-11-20;false
231;Goldwater;Barry M;Capricorn;1909-01-01;false
232;Borge;Victor;Capricorn;1909-01-03;false
233;Goodman;Benny;Gemini;1909-05-30;false
234;Tandy;Jessica;Gemini;1909-06-07;false
235;Kazan;Elia;Virgo;1909-09-07;false
236;Mercer;Johnny;Scorpio;1909-11-18;false
237;Ionesco;Eugene;Sagittarius;1909-11-26;false
238;Barber;Samuel;Pisces;1910-03-09;false
239;Rockefeller;Laurance S;Gemini;1910-05-26;false
240;Loesser;Frank;Cancer;1910-06-29;false
241;Saarinen;Eero;Leo;1910-08-20;false
242;Teresa (Mother);;Virgo;1910-08-27;false
243;Hart;Kitty Carlisle;Virgo;1910-09-03;false
244;Reagan;Ronald Wilson;Aquarius;1911-02-06;false
245;Williams;Tennessee;Aries;1911-03-26;false
246;Cronyn;Hume;Cancer;1911-07-18;false
247;Ball;Lucille;Leo;1911-08-06;false
248;Rogers;Roy;Scorpio;1911-11-05;false
249;Merrick;David;Sagittarius;1911-11-27;false
250;Pollock;Jackson;Aquarius;1912-01-28;false
251;Terkel;Studs;Taurus;1912-05-16;false
252;Cox;Archibald;Taurus;1912-05-17;false
253;Cheever;John;Gemini;1912-05-27;false
254;Guthrie;Woody;Cancer;1912-07-14;false
255;Child;Julia;Leo;1912-08-15;false
256;Kelly;Gene;Virgo;1912-08-23;false
257;Cage;John;Virgo;1912-09-05;false
258;Antonioni;Michelangelo;Libra;1912-09-29;false
259;Solti;Georg;Libra;1912-10-21;false
260;Cooke;Jack Kent;Scorpio;1912-10-25;false
261;Duke;Doris;Scorpio;1912-11-22;false
262;Johnson;Lady Bird;Capricorn;1912-12-22;false
263;Nixon;Richard Milhous;Capricorn;1913-01-09;false
264;Parks;Rosa;Aquarius;1913-02-04;false
265;Ford;Gerald Rudolph Jr;Cancer;1913-07-14;false
266;Camus;Albert;Scorpio;1913-11-07;false
267;Britten;Benjamin;Scorpio;1913-11-22;false
268;Burroughs;William S;Aquarius;1914-02-05;false
269;Guinness;Alec;Aries;1914-04-02;false
270;DiMaggio;Joe;Sagittarius;1914-11-25;false
271;Green;Adolph;Sagittarius;1914-12-02;false
272;Holiday;Billie;Aries;1915-04-07;false
273;Quinn;Anthony;Taurus;1915-04-21;false
274;Bellow;Saul;Gemini;1915-06-10;false
275;Rockefeller;David;Gemini;1915-06-12;false
276;Miller;Arthur;Libra;1915-10-17;false
277;Friendly;Fred W;Scorpio;1915-10-30;false
278;Pinochet Ugarte;Augusto;Sagittarius;1915-11-25;false
279;Wallach;Eli;Sagittarius;1915-12-07;false
280;Sinatra;Frank;Sagittarius;1915-12-12;false
281;Botha;P W;Capricorn;1916-01-12;false
282;Gleason;Jackie;Pisces;1916-02-26;false
283;Klinghoffer;Leon;Libra;1916-09-24;false
284;Koop;C Everett;Libra;1916-10-14;false
285;Cronkite;Walter;Scorpio;1916-11-04;false
286;Douglas;Kirk;Sagittarius;1916-12-09;false
287;Fitzgerald;Ella;Taurus;1917-04-25;false
288;Pei;I M;Taurus;1917-04-26;false
289;Comden;Betty;Taurus;1917-05-03;false
290;Kennedy;John Fitzgerald;Gemini;1917-05-29;false
291;Martin;Dean;Gemini;1917-06-07;false
292;Horne;Lena;Cancer;1917-06-30;false
293;Wyeth;Andrew;Cancer;1917-07-12;false
294;Weinberger;Caspar W;Leo;1917-08-18;false
295;Lawrence;Jacob;Virgo;1917-09-07;false
296;Marcos;Ferdinand E;Virgo;1917-09-11;false
297;Rizzuto;Phil;Libra;1917-09-25;false
298;Monk;Thelonious;Libra;1917-10-10;false
299;Gillespie;Dizzy;Libra;1917-10-21;false
300;Gandhi;Indira;Scorpio;1917-11-19;false
301;Byrd;Robert C;Scorpio;1917-11-20;false
302;Clarke;Arthur C;Sagittarius;1917-12-16;false
303;Davis;Ossie;Sagittarius;1917-12-18;false
304;Henderson;Skitch;Aquarius;1918-01-27;false
305;Mcpartland;Marian;Pisces;1918-03-20;false
306;Bergman;Ingmar;Cancer;1918-07-14;false
307;Laurents;Arthur;Cancer;1918-07-14;false
308;Bernstein;Leonard;Virgo;1918-08-25;false
309;Williams;Ted;Virgo;1918-08-30;false
310;Lerner;Alan Jay;Virgo;1918-08-31;false
311;Robbins;Jerome;Libra;1918-10-11;false
312;Graham;Billy;Scorpio;1918-11-07;false
313;Agnew;Spiro T;Scorpio;1918-11-09;false
314;Waldheim;Kurt;Sagittarius;1918-12-12;false
315;Sadat;Anwar El-;Capricorn;1918-12-25;false
316;Salinger;J D;Capricorn;1919-01-01;false
317;Robinson;Jackie;Aquarius;1919-01-31;false
318;Carey;Hugh L;Aries;1919-04-11;false
319;Seeger;Pete;Taurus;1919-05-03;false
320;Kael;Pauline;Gemini;1919-06-19;false
321;Hillary;Edmund;Cancer;1919-07-20;false
322;Wallace;George C;Virgo;1919-08-25;false
323;Zhao Ziyang;;Libra;1919-10-17;false
324;Colby;William E;Capricorn;1920-01-04;false
325;Fellini;Federico;Capricorn;1920-01-20;false
326;Moon;Sun Myung;Pisces;1920-02-25;false
327;Randall;Tony;Pisces;1920-02-26;false
328;Harriman;Pamela;Pisces;1920-03-20;false
329;Stevens;John Paul;Aries;1920-04-20;false
330;John Paul II;;Taurus;1920-05-18;false
331;Lee;Peggy;Gemini;1920-05-26;false
332;Helmsley;Leona;Cancer;1920-07-04;false
333;Brinkley;David;Cancer;1920-07-10;false
334;Stern;Isaac;Cancer;1920-07-21;false
335;Bradbury;Ray;Leo;1920-08-22;false
336;Parker;Charlie;Virgo;1920-08-29;false
337;Claiborne;Craig;Virgo;1920-09-04;false
338;Shultz;George P;Sagittarius;1920-12-13;true
339;Channing;Carol;Aquarius;1921-01-31;false
340;Friedan;Betty;Aquarius;1921-02-04;false
341;Rudel;Julius;Pisces;1921-03-06;false
342;Suharto;;Gemini;1921-06-08;false
343;Reagan;Nancy;Cancer;1921-07-06;false
344;Glenn;John;Cancer;1921-07-18;false
345;Valenti;Jack;Virgo;1921-09-05;false
346;Montand;Yves;Libra;1921-10-13;false
347;Helms;Jesse;Libra;1921-10-18;false
348;Lindsay;John V;Sagittarius;1921-11-24;false
349;Hollings;Ernest F;Capricorn;1922-01-01;false
350;Rabin;Yitzhak;Pisces;1922-03-01;false
351;Kerouac;Jack;Pisces;1922-03-12;false
352;Reiner;Carl;Pisces;1922-03-20;false
353;Garland;Judy;Gemini;1922-06-10;false
354;McGovern;George S;Cancer;1922-07-19;false
355;Edwards;Blake;Leo;1922-07-26;false
356;Robards;Jason;Leo;1922-07-26;false
357;Lear;Norman;Leo;1922-07-27;true
358;Caesar;Sid;Virgo;1922-09-08;false
359;Chafee;John H;Libra;1922-10-22;false
360;Dee;Ruby;Scorpio;1922-10-27;false
361;Vonnegut;Kurt;Scorpio;1922-11-11;false
362;Hewitt;Don;Sagittarius;1922-12-14;false
363;Lee;Stan;Capricorn;1922-12-28;false
364;Stapleton;Jean;Capricorn;1923-01-19;false
365;Mailer;Norman;Aquarius;1923-01-31;false
366;Durning;Charles;Pisces;1923-02-28;false
367;Puente;Tito;Aries;1923-04-20;false
368;Heller;Joseph;Taurus;1923-05-01;false
369;Kissinger;Henry A;Gemini;1923-05-27;true
370;Redstone;Sumner M;Gemini;1923-05-27;false
371;Dole;Bob;Cancer;1923-07-22;true
372;Peres;Shimon;Leo;1923-08-02;false
373;Lichtenstein;Roy;Scorpio;1923-10-27;false
374;Stevens;Ted;Scorpio;1923-11-18;false
375;Callas;Maria;Sagittarius;1923-12-02;false
376;Roach;Max;Capricorn;1924-01-10;false
377;Lautenberg;Frank R;Aquarius;1924-01-23;false
378;Mugabe;Robert;Pisces;1924-02-21;false
379;Webster;William H;Pisces;1924-03-06;true
380;Brando;Marlon;Aries;1924-04-03;false
381;Harnick;Sheldon;Taurus;1924-04-30;true
382;Dewhurst;Colleen;Gemini;1924-06-03;false
383;Bush;George;Gemini;1924-06-12;false
384;Inouye;Daniel K;Virgo;1924-09-07;false
385;Bacall;Lauren;Virgo;1924-09-16;false
386;Mastroianni;Marcello;Libra;1924-09-28;false
387;Capote;Truman;Libra;1924-09-30;false
388;Carter;Jimmy;Libra;1924-10-01;true
389;Rehnquist;William H;Libra;1924-10-01;false
390;Iacocca;Lee A;Libra;1924-10-15;false
391;Koch;Edward I;Sagittarius;1924-12-12;false
392;Verdon;Gwen;Capricorn;1925-01-13;false
393;Newman;Paul;Aquarius;1925-01-26;false
394;Stritch;Elaine;Aquarius;1925-02-02;false
395;Dash;Samuel;Pisces;1925-02-27;false
396;Scowcroft;Brent;Pisces;1925-03-19;false
397;Boulez;Pierre;Aries;1925-03-26;false
398;Berra;Yogi;Taurus;1925-05-12;false
399;Malcolm X;;Taurus;1925-05-19;false
400;Pol Pot;;Taurus;1925-05-19;false
401;Bush;Barbara;Gemini;1925-06-08;false
